Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
PONT CARDINET;87381111;Samedi;2014;2014-05-17;L;L3;Après 20h;437
NEMOURS SAINT-PIERRE;87684126;Dimanche;2017;2017-03-12;R;R;Avant 6h;18
VANVES MALAKOFF;87391532;Dimanche;2018;2018-10-14;N;N;Avant 6h;2
CHARTRETTES;87682419;JOB;2017;2017-03-07;R;R;De 6h à 10h;45
NEMOURS SAINT-PIERRE;87684126;JOB;2017;2017-03-07;R;R;Avant 6h;251
BONDY;87113407;Dimanche;2015;2015-10-04;T4;T4;Avant 6h;16
PONT CARDINET;87381111;Samedi;2014;2014-05-17;L;L3;De 16h à 20h;761
MANTES LA JOLIE;87381509;JOB;2018;2018-10-16;N;N;De 16h à 20h;198
BONDY;87113407;JOB;2015;2015-10-15;T4;T4;De 10h à 16h;0
DORDIVES;87684233;JOB;2017;2017-03-07;R;R;Après 20h;3
PARIS GARE DE LYON;87686030;JOB;2017;2017-03-07;R;R;De 10h à 16h;2932
FREINVILLE SEVRAN;87113894;JOB;2015;2015-10-06;T4;T4;De 10h à 16h;466
SARTROUVILLE;87386417;JOB;2018;2018-03-27;L;L3;De 10h à 16h;229
MANTES LA JOLIE;87381509;Samedi;2018;2018-10-20;N;N;De 16h à 20h;132
REMISE A JORELLE;87988709;JOB;2015;2015-10-06;T4;T4;Avant 6h;41
DORDIVES;87684233;JOB;2017;2017-03-07;R;R;De 10h à 16h;38
PARIS GARE DE LYON;87686030;JOB;2017;2017-03-07;R;R;De 6h à 10h;1409
CHAUFFRY;87116350;JOB;2019;2019-05-14;P;P;De 16h à 20h;1
FERRIERES FONTENAY;87684241;Dimanche;2017;2017-03-12;R;R;De 6h à 10h;2
MARCHEZAIS BROUE;87393470;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;26
CHAUFFRY;87116350;JOB;2019;2019-05-14;P;P;De 6h à 10h;10
BEYNES;87393363;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;34
SAINT-MAMMES;87682294;Dimanche;2017;2017-03-12;R;R;Après 20h;18
COUILLY SAINT-GERMAIN QUINCY;87116731;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;29
CLAMART;87391565;Samedi;2018;2018-10-20;N;N;De 16h à 20h;638
SAINT-MAMMES;87682294;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;0
PUTEAUX;87382382;JOB;2016;2016-03-15;U;U;De 10h à 16h;65
FONTAINEBLEAU FORET;87000000;Dimanche;2017;2017-03-12;R;R;De 6h à 10h;0
SOUPPES CHATEAU LANDON;87684217;Samedi;2017;2017-03-11;R;R;Avant 6h;15
COULOMMIERS;87116301;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;13
COIGNIERES;87393272;Samedi;2018;2018-10-20;N;N;De 16h à 20h;177
THOMERY;87682252;JOB;2017;2017-03-07;R;R;Avant 6h;2
CRECY LA CHAPELLE;87116772;JOB;2019;2019-05-14;P;P;De 6h à 10h;205
LA GRANDE PAROISSE;87682476;JOB;2017;2017-03-07;R;R;Avant 6h;6
NEZEL AULNAY;87381731;Samedi;2018;2018-10-20;N;N;Après 20h;6
SEVRES VILLE D'AVRAY;87382341;Samedi;2016;2016-03-12;U;U;Après 20h;82
LA GRANDE PAROISSE;87682476;Samedi;2017;2017-03-11;R;R;De 16h à 20h;49
ORGERUS BEHOUST;87393447;Samedi;2018;2018-10-20;N;N;De 6h à 10h;42
ESBLY;87116327;Dimanche;2019;2019-03-16;P;P;Après 20h;86
LIVRY SUR SEINE;87682401;JOB;2017;2017-03-07;R;R;Après 20h;4
EPINAY VILLETANEUSE TRAM 11 EXPRESS;87697300;Dimanche;2017;2017-12-03;T11;T11;De 10h à 16h;446
ESBLY;87116327;Dimanche;2019;2019-03-16;P;P;De 10h à 16h;480
LIVRY SUR SEINE;87682401;Samedi;2017;2017-03-11;R;R;De 6h à 10h;12
EPINAY VILLETANEUSE TRAM 11 EXPRESS;87697300;JOB;2017;2017-11-28;T11;T11;Après 20h;308
ESBLY;87116327;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;95
MONTARGIS;87684001;Dimanche;2017;2017-03-12;R;R;De 6h à 10h;122
PLAISIR GRIGNON;87393421;Samedi;2018;2018-10-20;N;N;De 10h à 16h;1124
SURESNES MONT VALERIEN;87382374;Samedi;2016;2016-03-12;U;U;Avant 6h;0
HOUDAN;87393462;Samedi;2018;2018-10-20;N;N;De 6h à 10h;133
PIERREFITTE STAINS TRAM 11 EXPRESS;87697326;JOB;2017;2017-11-28;T11;T11;Après 20h;199
FAREMOUTIERS POMMEUSE;87116277;Dimanche;2019;2019-03-16;P;P;Après 20h;19
MONTIGNY SUR LOING;87684100;JOB;2017;2017-03-07;R;R;Après 20h;7
SAINT-CYR;87393223;Samedi;2018;2018-10-20;N;N;De 10h à 16h;1088
TRAPPES;87393835;JOB;2016;2016-03-17;U;U;De 16h à 20h;1332
MORET VENEUX LES SABLONS;87682278;JOB;2017;2017-03-07;R;R;De 16h à 20h;290
STAINS LA CERISAIE TRAM 11 EXPRESS;87697334;Dimanche;2017;2017-12-03;T11;T11;Après 20h;109
ISLES ARMENTIERES CONGIS;87116616;JOB;2019;2019-05-14;P;P;Avant 6h;6
LES ESSARTS LE ROI;87393280;JOB;2018;2018-10-16;N;N;De 10h à 16h;209
STAINS LA CERISAIE TRAM 11 EXPRESS;87697334;Dimanche;2017;2017-12-03;T11;T11;De 6h à 10h;76
ISLES ARMENTIERES CONGIS;87116616;Samedi;2019;2019-05-11;P;P;De 10h à 16h;43
MANTES LA JOLIE;87381509;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;176
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;Dimanche;2015;2015-10-04;T4;T4;Avant 6h;9
JOUY SUR MORIN MONUMENT;87430884;JOB;2019;2019-05-14;P;P;Avant 6h;4
MARCHEZAIS BROUE;87393470;Samedi;2018;2018-10-20;N;N;De 10h à 16h;30
TRAPPES;87393835;JOB;2018;2018-10-16;N;N;Après 20h;219
JOUY SUR MORIN MONUMENT;87430884;Samedi;2019;2019-05-11;P;P;De 16h à 20h;1
MAREIL SUR MAULDRE;87381715;Samedi;2018;2018-10-20;N;N;De 6h à 10h;9
TRAPPES;87393835;Samedi;2018;2018-10-20;N;N;De 10h à 16h;1027
LA FERTE GAUCHER;87116392;Dimanche;2019;2019-05-12;P;P;Après 20h;1
MAULE;87381723;Samedi;2018;2018-10-20;N;N;Après 20h;31
AULNAY SOUS BOIS;87271411;JOB;2015;2015-10-15;T4;T4;De 6h à 10h;1353
LA FERTE GAUCHER;87116392;JOB;2019;2019-05-14;P;P;De 6h à 10h;3
MAULE;87381723;Samedi;2018;2018-10-20;N;N;De 10h à 16h;122
BONDY;87113407;JOB;2015;2015-10-15;T4;T4;Avant 6h;4
LAGNY THORIGNY;87116319;Dimanche;2019;2019-03-16;P;P;Après 20h;240
THOMERY;87682252;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;107
VERSAILLES CHANTIERS;87393009;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;634
MONTRY CONDE;87116400;Samedi;2019;2019-05-11;P;P;Avant 6h;1
MONTFORT L'AMAURY MERE;87393892;Dimanche;2018;2018-10-14;N;N;De 10h à 16h;154
VERSAILLES CHANTIERS;87393009;JOB;2018;2018-10-16;N;N;De 6h à 10h;4843
NANTEUIL SAACY;87116558;JOB;2019;2019-05-21;P;P;Après 20h;0
THOMERY;87682252;Samedi;2017;2017-03-11;R;R;Après 20h;4
LES COQUETIERS;87113845;Dimanche;2015;2015-10-04;T4;T4;De 16h à 20h;237
NOGENT L'ARTAUD CHARLY;87116566;JOB;2019;2019-05-14;P;P;Avant 6h;62
VERNOU SUR SEINE;87682468;Samedi;2017;2017-03-11;R;R;Avant 6h;0
VIROFLAY RIVE GAUCHE;87393215;Samedi;2018;2018-10-20;N;N;Après 20h;415
PARIS EST;87113001;Dimanche;2019;2019-03-16;P;P;Après 20h;2615
ORGERUS BEHOUST;87393447;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;11
LES COQUETIERS;87113845;Samedi;2015;2015-10-03;T4;T4;Avant 6h;26
PROVINS;87116160;Dimanche;2019;2019-05-12;P;P;Après 20h;37
PARIS MONTPARNASSE;87391003;Samedi;2018;2018-10-20;N;N;Avant 6h;95
LES PAVILLONS SOUS BOIS;87113852;Samedi;2015;2015-10-03;T4;T4;De 16h à 20h;335
SAINT-REMY LA VANNE;87116376;Dimanche;2019;2019-05-12;P;P;Après 20h;0
EPINAY VILLETANEUSE TRAM 11 EXPRESS;87697300;JOB;2017;2017-11-28;T11;T11;De 10h à 16h;721
CHAILLY BOISSY LECHATEL;87116343;JOB;2019;2019-05-14;P;P;De 10h à 16h;37
SAINT-SIMEON;87116368;JOB;2019;2019-05-14;P;P;De 10h à 16h;4
LE BOURGET TRAM 11 EXPRESS;87697359;JOB;2017;2017-11-28;T11;T11;De 6h à 10h;1357
LYCEE HENRI SELLIER;87988717;JOB;2015;2015-10-06;T4;T4;De 16h à 20h;796
SAINT-SIMEON;87116368;Samedi;2019;2019-05-11;P;P;De 16h à 20h;1
PLAISIR LES CLAYES;87393629;Samedi;2018;2018-10-20;N;N;Après 20h;179
REMISE A JORELLE;87988709;JOB;2015;2015-10-06;T4;T4;De 6h à 10h;0
VERNEUIL L'ETANG;87116079;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;151
PLAISIR LES CLAYES;87393629;Samedi;2018;2018-10-20;N;N;De 16h à 20h;479
REMISE A JORELLE;87988709;Samedi;2015;2015-10-03;T4;T4;Avant 6h;16
VERNEUIL L'ETANG;87116079;JOB;2019;2019-05-16;P;P;De 6h à 10h;25
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;Dimanche;2015;2015-10-04;T4;T4;De 10h à 16h;284
CHATEAU THIERRY;87116582;JOB;2019;2019-05-21;P;P;Après 20h;0
VILLIERS MONTBARBIN;87116749;Samedi;2019;2019-05-11;P;P;De 6h à 10h;20
TRAPPES;87393835;JOB;2018;2018-10-16;N;N;De 10h à 16h;1165
REMISE A JORELLE;87988709;Samedi;2015;2015-10-03;T4;T4;De 6h à 10h;180
BAGNEAUX SUR LOING;87684191;Samedi;2017;2017-03-11;R;R;Après 20h;5
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;Samedi;2015;2015-10-03;T4;T4;De 6h à 10h;101
CHAVILLE RIVE DROITE;87382333;JOB;2016;2016-03-22;U;U;De 10h à 16h;55
CHARTRETTES;87682419;Dimanche;2017;2017-03-12;R;R;Après 20h;1
VANVES MALAKOFF;87391532;JOB;2018;2018-10-16;N;N;De 16h à 20h;993
CHAUFFRY;87116350;Samedi;2019;2019-05-11;P;P;De 16h à 20h;0
CHARTRETTES;87682419;Dimanche;2017;2017-03-12;R;R;Avant 6h;0
VANVES MALAKOFF;87391532;Samedi;2018;2018-10-20;N;N;De 6h à 10h;234
CHAVILLE RIVE DROITE;87382333;Samedi;2016;2016-03-12;U;U;De 6h à 10h;50
LA GRANDE PAROISSE;87682476;JOB;2017;2017-03-07;R;R;De 10h à 16h;26
VERSAILLES CHANTIERS;87393009;JOB;2018;2018-10-16;N;N;De 10h à 16h;4260
LA DEFENSE GRANDE ARCHE;87758011;Dimanche;2016;2016-03-13;U;U;De 10h à 16h;907
MELUN;87682005;Dimanche;2017;2017-03-12;R;R;De 10h à 16h;2103
VERSAILLES CHANTIERS;87393009;JOB;2018;2018-10-16;N;N;De 16h à 20h;6515
PUTEAUX;87382382;JOB;2016;2016-03-17;U;U;Après 20h;42
MONTARGIS;87684001;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;323
VILLEPREUX LES CLAYES;87393413;JOB;2018;2018-10-16;N;N;De 10h à 16h;583
COULOMMIERS;87116301;Samedi;2019;2019-05-11;P;P;De 16h à 20h;47
MONTARGIS;87684001;Samedi;2017;2017-03-11;R;R;Avant 6h;49
L'ABBAYE;87113886;JOB;2015;2015-10-06;T4;T4;De 16h à 20h;220
SAINT-CYR;87393223;JOB;2016;2016-03-15;U;U;De 10h à 16h;152
MONTARGIS;87684001;Samedi;2017;2017-03-11;R;R;De 6h à 10h;182
VILLIERS NEAUPHLE PONTCHARTRAIN;87393884;Samedi;2018;2018-10-20;N;N;De 10h à 16h;190
CRECY LA CHAPELLE;87116772;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;55
MONTEREAU;87682302;Dimanche;2017;2017-03-12;R;R;De 6h à 10h;191
LYCEE HENRI SELLIER;87988717;JOB;2015;2015-10-15;T4;T4;De 10h à 16h;11
CRECY LA CHAPELLE;87116772;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;22
MORET VENEUX LES SABLONS;87682278;Dimanche;2017;2017-03-12;R;R;Après 20h;72
CHAILLY BOISSY LECHATEL;87116343;Samedi;2019;2019-05-11;P;P;De 6h à 10h;0
SEVRES VILLE D'AVRAY;87382341;Dimanche;2016;2016-03-13;U;U;De 10h à 16h;82
SAINT-MAMMES;87682294;Dimanche;2017;2017-03-12;R;R;De 6h à 10h;19
CHAMPBENOIST POIGNY;87115873;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;57
SEVRES VILLE D'AVRAY;87382341;JOB;2016;2016-03-15;U;U;Avant 6h;6
VERNOU SUR SEINE;87682468;JOB;2017;2017-03-07;R;R;De 16h à 20h;15
CHANGIS SAINT-JEAN;87116509;Samedi;2019;2019-05-11;P;P;De 10h à 16h;67
CROUY SUR OURCQ;87116640;JOB;2019;2019-05-14;P;P;De 6h à 10h;208
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;Dimanche;2017;2017-12-03;T11;T11;De 10h à 16h;97
CHATEAU THIERRY;87116582;JOB;2019;2019-05-21;P;P;De 16h à 20h;0
FAREMOUTIERS POMMEUSE;87116277;Samedi;2019;2019-03-15;P;P;De 16h à 20h;57
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;Samedi;2017;2017-12-02;T11;T11;De 10h à 16h;183
ROUGEMONT CHANTELOUP;87431791;JOB;2015;2015-10-15;T4;T4;Avant 6h;4
JOUY SUR MORIN MONUMENT;87430884;JOB;2019;2019-05-14;P;P;De 6h à 10h;13
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;Samedi;2017;2017-12-02;T11;T11;De 16h à 20h;104
CHAVILLE RIVE DROITE;87382333;Samedi;2016;2016-03-12;U;U;De 10h à 16h;178
LA FERTE GAUCHER;87116392;JOB;2019;2019-05-14;P;P;Avant 6h;2
EPINAY TRAM 11 EXPRESS;87697292;Samedi;2017;2017-12-02;T11;T11;De 16h à 20h;517
CHEZY SUR MARNE;87116574;JOB;2019;2019-05-21;P;P;Après 20h;0
LA FERTE MILON;87116673;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;15
STAINS LA CERISAIE TRAM 11 EXPRESS;87697334;JOB;2017;2017-11-28;T11;T11;De 10h à 16h;379
COUILLY SAINT-GERMAIN QUINCY;87116731;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;42
LAGNY THORIGNY;87116319;Dimanche;2019;2019-03-16;P;P;De 10h à 16h;1089
VILLETANEUSE UNIVERSITE TRAM 11 EXPRESS;87697318;Samedi;2017;2017-12-02;T11;T11;De 6h à 10h;134
PUTEAUX;87382382;JOB;2016;2016-03-15;U;U;Avant 6h;7
MEAUX;87116103;JOB;2019;2019-03-13;P;P;De 6h à 10h;3350
FREINVILLE SEVRAN;87113894;JOB;2015;2015-10-06;T4;T4;Après 20h;70
COUILLY SAINT-GERMAIN QUINCY;87116731;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;8
MEAUX;87116103;Samedi;2019;2019-05-11;P;P;Après 20h;448
FREINVILLE SEVRAN;87113894;Samedi;2015;2015-10-03;T4;T4;De 10h à 16h;498
COUILLY SAINT-GERMAIN QUINCY;87116731;JOB;2019;2019-05-14;P;P;De 10h à 16h;37
MEAUX;87116103;Samedi;2019;2019-05-11;P;P;De 10h à 16h;1950
L'ABBAYE;87113886;Dimanche;2015;2015-10-04;T4;T4;De 10h à 16h;407
PUTEAUX;87382382;JOB;2016;2016-03-22;U;U;De 16h à 20h;1046
MORTCERF;87116244;Samedi;2019;2019-03-15;P;P;De 16h à 20h;27
LES COQUETIERS;87113845;Samedi;2015;2015-10-03;T4;T4;De 6h à 10h;244
SAINT-CYR;87393223;JOB;2016;2016-03-17;U;U;Après 20h;97
NANTEUIL SAACY;87116558;JOB;2019;2019-05-14;P;P;De 16h à 20h;79
LES PAVILLONS SOUS BOIS;87113852;Dimanche;2015;2015-10-04;T4;T4;De 16h à 20h;271
SEVRES VILLE D'AVRAY;87382341;Samedi;2016;2016-03-12;U;U;De 10h à 16h;147
NOGENT L'ARTAUD CHARLY;87116566;JOB;2019;2019-05-14;P;P;De 16h à 20h;48
LES PAVILLONS SOUS BOIS;87113852;JOB;2015;2015-10-06;T4;T4;Avant 6h;33
SEVRES VILLE D'AVRAY;87382341;Samedi;2016;2016-03-12;U;U;De 6h à 10h;80
PARIS EST;87113001;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;2244
SAINT-CLOUD;87382358;JOB;2016;2016-03-17;U;U;Après 20h;77
SURESNES MONT VALERIEN;87382374;Dimanche;2016;2016-03-13;U;U;De 16h à 20h;59
PARIS EST;87113001;Samedi;2019;2019-05-11;P;P;De 6h à 10h;864
SAINT-CLOUD;87382358;JOB;2016;2016-03-15;U;U;Avant 6h;7
ESBLY;87116327;Samedi;2019;2019-05-11;P;P;Avant 6h;0
SAINT-SIMEON;87116368;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;0
SAINT-CLOUD;87382358;Samedi;2016;2016-03-12;U;U;De 10h à 16h;408
TRAPPES;87393835;Dimanche;2016;2016-03-13;U;U;De 10h à 16h;519
SAINTE-COLOMBE SEPTVEILLES;87116178;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;50
SAINT-CYR;87393223;Samedi;2016;2016-03-12;U;U;Avant 6h;7
TRAPPES;87393835;JOB;2016;2016-03-15;U;U;De 6h à 10h;1605
SAINTE-COLOMBE SEPTVEILLES;87116178;Samedi;2019;2019-05-11;P;P;De 16h à 20h;13
SAINT-QUENTIN EN YVELINES;87393843;Dimanche;2016;2016-03-13;U;U;Après 20h;141
FAREMOUTIERS POMMEUSE;87116277;Samedi;2019;2019-03-15;P;P;De 6h à 10h;51
BOIS LE ROI;87682203;Samedi;2017;2017-03-11;R;R;De 10h à 16h;327
TRAPPES;87393835;JOB;2016;2016-03-15;U;U;De 10h à 16h;138
TRAPPES;87393835;Samedi;2016;2016-03-12;U;U;Avant 6h;50
BOURRON MARLOTTE GREZ;87684118;JOB;2017;2017-03-07;R;R;Après 20h;28
ACHERES GRAND CORMIER;87386052;JOB;2018;2018-03-27;A;A;Après 20h;40
VERSAILLES CHANTIERS;87393009;JOB;2016;2016-03-17;U;U;De 10h à 16h;758
DORDIVES;87684233;Samedi;2017;2017-03-11;R;R;Avant 6h;0
ACHERES GRAND CORMIER;87386052;JOB;2018;2018-03-27;A;A;De 10h à 16h;112
ISLES ARMENTIERES CONGIS;87116616;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;9
FONTAINE LE PORT;87682427;JOB;2017;2017-03-07;R;R;De 16h à 20h;16
CERGY LE HAUT;87382655;JOB;2018;2018-03-27;A;A;Avant 6h;384
JOUY SUR MORIN EUSTACHE;87430900;Samedi;2019;2019-05-11;P;P;De 6h à 10h;4
LIVRY SUR SEINE;87682401;Samedi;2017;2017-03-11;R;R;De 10h à 16h;35
CERGY LE HAUT;87382655;JOB;2018;2018-03-27;A;A;De 10h à 16h;2383
JOUY SUR MORIN MONUMENT;87430884;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;5
MONTEREAU;87682302;Dimanche;2017;2017-03-12;R;R;Avant 6h;0
CERGY SAINT-CHRISTOPHE;87382499;JOB;2018;2018-03-27;A;A;De 10h à 16h;2726
LA FERTE GAUCHER;87116392;JOB;2019;2019-05-14;P;P;De 16h à 20h;2
MONTIGNY SUR LOING;87684100;JOB;2017;2017-03-07;R;R;De 16h à 20h;33
CONFLANS FIN D'OISE;87381459;JOB;2018;2018-03-27;A;A;De 6h à 10h;3071
LA FERTE MILON;87116673;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;5
MONTIGNY SUR LOING;87684100;Samedi;2017;2017-03-11;R;R;De 6h à 10h;41
HOUILLES CARRIERES SUR SEINE;87386409;Dimanche;2014;2014-05-18;A;A;Après 20h;639
LA FERTE SOUS JOUARRE;87116517;JOB;2019;2019-05-14;P;P;De 16h à 20h;346
NEMOURS SAINT-PIERRE;87684126;Dimanche;2017;2017-03-12;R;R;De 10h à 16h;452
NEUVILLE UNIVERSITE;87334482;JOB;2018;2018-03-27;A;A;De 6h à 10h;1787
LIZY SUR OURCQ;87116632;Dimanche;2019;2019-05-19;P;P;De 10h à 16h;34
NEMOURS SAINT-PIERRE;87684126;JOB;2017;2017-03-07;R;R;Après 20h;25
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2019;2019-03-16;B;B;De 6h à 10h;828
MARLES EN BRIE;87116228;Dimanche;2019;2019-03-16;P;P;De 6h à 10h;21
SOUPPES CHATEAU LANDON;87684217;JOB;2017;2017-03-07;R;R;Après 20h;20
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Samedi;2019;2019-03-16;B;B;De 16h à 20h;2065
MEAUX;87116103;Dimanche;2019;2019-03-16;P;P;Après 20h;375
VERNOU SUR SEINE;87682468;Dimanche;2017;2017-03-12;R;R;Avant 6h;0
LA COURNEUVE AUBERVILLIERS;87271304;JOB;2019;2019-03-21;B;B;De 10h à 16h;1643
MONTRY CONDE;87116400;Dimanche;2019;2019-05-12;P;P;Après 20h;2
VULAINES SUR SEINE SAMOREAU;87682443;JOB;2017;2017-03-07;R;R;De 10h à 16h;34
LE BLANC MESNIL;87271478;Samedi;2019;2019-03-16;B;B;De 16h à 20h;941
MONTRY CONDE;87116400;JOB;2019;2019-05-14;P;P;De 10h à 16h;15
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;Dimanche;2017;2017-12-03;T11;T11;Après 20h;50
LE BOURGET;87271395;Dimanche;2019;2019-03-17;B;B;Avant 6h;194
MORMANT;87116087;Dimanche;2019;2019-05-12;P;P;Après 20h;20
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;Dimanche;2017;2017-12-03;T11;T11;De 16h à 20h;76
LE BOURGET;87271395;JOB;2019;2019-03-21;B;B;De 6h à 10h;1824
NANGIS;87116095;Dimanche;2019;2019-05-12;P;P;De 10h à 16h;331
EPINAY TRAM 11 EXPRESS;87697292;Samedi;2017;2017-12-02;T11;T11;Après 20h;238
SEVRAN BEAUDOTTES;87271445;Dimanche;2019;2019-03-17;B;B;Avant 6h;234
NANGIS;87116095;JOB;2019;2019-05-16;P;P;De 16h à 20h;291
EPINAY TRAM 11 EXPRESS;87697292;Samedi;2017;2017-12-02;T11;T11;Avant 6h;56
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-28;B;B;Après 20h;634
PARIS EST;87113001;Dimanche;2019;2019-03-16;P;P;De 16h à 20h;4066
STAINS LA CERISAIE TRAM 11 EXPRESS;87697334;Dimanche;2017;2017-12-03;T11;T11;De 16h à 20h;460
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-21;B;B;Avant 6h;137
PARIS EST;87113001;JOB;2019;2019-05-14;P;P;Avant 6h;60
STAINS LA CERISAIE TRAM 11 EXPRESS;87697334;Samedi;2017;2017-12-02;T11;T11;De 6h à 10h;160
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-21;B;B;De 16h à 20h;347
PROVINS;87116160;Samedi;2019;2019-05-11;P;P;Avant 6h;45
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;JOB;2015;2015-10-06;T4;T4;Après 20h;55
SEVRAN LIVRY;87271429;JOB;2019;2019-03-28;B;B;Après 20h;253
SAINT-REMY LA VANNE;87116376;JOB;2019;2019-05-14;P;P;De 10h à 16h;7
ALLEE DE LA TOUR RENDEZ-VOUS;87113878;Samedi;2015;2015-10-03;T4;T4;Avant 6h;8
VERT GALANT;87271437;Dimanche;2019;2019-03-17;B;B;Après 20h;29
SAINT-SIMEON;87116368;JOB;2019;2019-05-14;P;P;De 16h à 20h;1
AULNAY SOUS BOIS;87271411;JOB;2015;2015-10-15;T4;T4;Avant 6h;35
VERT GALANT;87271437;Dimanche;2019;2019-03-17;B;B;Avant 6h;98
TRILPORT;87116491;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;107
L'ABBAYE;87113886;Samedi;2015;2015-10-03;T4;T4;De 10h à 16h;399
VERT GALANT;87271437;JOB;2019;2019-03-28;B;B;De 6h à 10h;7567
BAGNEAUX SUR LOING;87684191;Samedi;2017;2017-03-11;R;R;De 16h à 20h;32
LYCEE HENRI SELLIER;87988717;JOB;2015;2015-10-06;T4;T4;De 10h à 16h;743
VILLEPINTE;87271452;Samedi;2019;2019-03-16;B;B;De 6h à 10h;662
BOIS LE ROI;87682203;JOB;2017;2017-03-07;R;R;Avant 6h;11
REMISE A JORELLE;87988709;JOB;2015;2015-10-15;T4;T4;De 6h à 10h;453
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 16h à 20h;515
CHAMPAGNE SUR SEINE;87682450;Dimanche;2017;2017-03-12;R;R;Avant 6h;0
ROUGEMONT CHANTELOUP;87431791;JOB;2015;2015-10-06;T4;T4;De 10h à 16h;786
ARPAJON;87545467;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;110
CHAMPAGNE SUR SEINE;87682450;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;62
LA DEFENSE GRANDE ARCHE;87758011;Dimanche;2016;2016-03-13;U;U;Après 20h;386
AVENUE FOCH;87381038;JOB;2017;2017-04-25;C;C;De 16h à 20h;1038
CHAMPAGNE SUR SEINE;87682450;Samedi;2017;2017-03-11;R;R;De 10h à 16h;176
LA DEFENSE GRANDE ARCHE;87758011;JOB;2016;2016-03-17;U;U;De 10h à 16h;593
AVENUE HENRI MARTIN;87381046;Samedi;2017;2017-04-22;C;C;De 6h à 10h;87
CHAMPAGNE SUR SEINE;87682450;Samedi;2017;2017-03-11;R;R;De 6h à 10h;73
SAINT-CLOUD;87382358;JOB;2016;2016-03-22;U;U;Après 20h;83
BIEVRES;87393546;JOB;2017;2017-04-25;C;C;De 16h à 20h;375
CHARTRETTES;87682419;Samedi;2017;2017-03-11;R;R;De 10h à 16h;12
SAINT-CYR;87393223;JOB;2016;2016-03-17;U;U;De 10h à 16h;406
BIEVRES;87393546;Samedi;2017;2017-04-22;C;C;De 6h à 10h;73
FERRIERES FONTENAY;87684241;JOB;2017;2017-03-07;R;R;Après 20h;0
SAINT-QUENTIN EN YVELINES;87393843;Samedi;2016;2016-03-12;U;U;Avant 6h;21
BREUILLET BRUYERES LE CHATEL;87545483;Samedi;2017;2017-04-22;C;C;De 10h à 16h;164
FONTAINE LE PORT;87682427;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;14
SEVRES VILLE D'AVRAY;87382341;JOB;2016;2016-03-15;U;U;De 6h à 10h;570
BREUILLET BRUYERES LE CHATEL;87545483;Samedi;2017;2017-04-22;C;C;De 16h à 20h;93
FONTAINE LE PORT;87682427;Samedi;2017;2017-03-11;R;R;Avant 6h;1
SEVRES VILLE D'AVRAY;87382341;Samedi;2016;2016-03-12;U;U;Avant 6h;1
CERNAY;87276063;JOB;2017;2017-04-25;C;C;De 10h à 16h;875
HERICY;87682435;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;20
SURESNES MONT VALERIEN;87382374;JOB;2016;2016-03-15;U;U;Avant 6h;2
